,Date,Open,High,Low,Close
0,2024-01-05 00:00:00+01:00,171.0,171.60000610351562,169.36000061035156,170.67999267578125
1,2024-01-08 00:00:00+01:00,170.24000549316406,171.39999389648438,169.8000030517578,171.24000549316406
2,2024-01-09 00:00:00+01:00,171.3000030517578,171.36000061035156,170.24000549316406,170.97999572753906
3,2024-01-10 00:00:00+01:00,171.39999389648438,172.1199951171875,170.4199981689453,171.4600067138672
4,2024-01-11 00:00:00+01:00,172.94000244140625,174.3800048828125,172.5,172.75999450683594
5,2024-01-12 00:00:00+01:00,174.0800018310547,176.3000030517578,173.94000244140625,175.63999938964844
6,2024-01-15 00:00:00+01:00,175.67999267578125,175.74000549316406,174.9199981689453,175.47999572753906
7,2024-01-16 00:00:00+01:00,174.47999572753906,175.74000549316406,173.67999267578125,175.5800018310547
8,2024-01-17 00:00:00+01:00,174.4600067138672,174.47999572753906,172.8000030517578,173.77999877929688
9,2024-01-18 00:00:00+01:00,173.6999969482422,176.0,173.25999450683594,175.13999938964844
10,2024-01-19 00:00:00+01:00,175.9199981689453,176.74000549316406,172.52000427246094,173.02000427246094
11,2024-01-22 00:00:00+01:00,173.86000061035156,174.25999450683594,170.6199951171875,172.75999450683594
12,2024-01-23 00:00:00+01:00,172.77999877929688,172.89999389648438,169.44000244140625,169.75999450683594
13,2024-01-24 00:00:00+01:00,169.83999633789062,172.83999633789062,169.77999877929688,172.4600067138672
14,2024-01-25 00:00:00+01:00,172.4199981689453,173.52000427246094,170.3000030517578,171.83999633789062
15,2024-01-26 00:00:00+01:00,171.6199951171875,172.77999877929688,171.1199951171875,171.47999572753906
16,2024-01-29 00:00:00+01:00,171.39999389648438,172.47999572753906,171.05999755859375,172.27999877929688
17,2024-01-30 00:00:00+01:00,172.60000610351562,173.44000244140625,171.60000610351562,173.0800018310547
18,2024-01-31 00:00:00+01:00,173.22000122070312,174.52000427246094,173.16000366210938,173.67999267578125
19,2024-02-01 00:00:00+01:00,173.4600067138672,173.8000030517578,172.33999633789062,173.1999969482422
20,2024-02-02 00:00:00+01:00,173.94000244140625,174.17999267578125,170.9600067138672,171.3000030517578
21,2024-02-05 00:00:00+01:00,171.0,171.83999633789062,165.67999267578125,167.86000061035156
